2019-01-29 20:25:34,696 [INFO]: start action
2019-01-29 20:25:58,222 [INFO]: start action
2019-01-29 20:28:38,970 [INFO]: start action
2019-01-29 20:37:02,353 [INFO]: start action
2019-01-29 20:38:52,650 [INFO]: start action
2019-01-29 20:39:55,123 [INFO]: start action
2019-01-29 20:40:34,360 [INFO]: start action
2019-01-29 20:40:51,073 [INFO]: start action
2019-01-29 21:48:12,870 [INFO]: start action
2019-01-29 22:11:31,117 [INFO]: start action
2019-01-29 22:11:58,394 [INFO]: start action
2019-01-29 22:12:25,485 [INFO]: start action
2019-01-29 22:14:03,752 [INFO]: start action
2019-01-29 22:14:16,511 [INFO]: start action
2019-01-29 22:14:17,592 [INFO]: This network is trained from scratch
2019-01-29 22:14:18,075 [INFO]: Starting training from step 0...
2019-01-29 22:15:19,664 [INFO]: step 1000: gen_loss 0.550148, dis_loss 1.528897 (4164.7 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:19,664 [INFO]: 49000 iterations left,expected to finsh at Y-01-29 22:26:31 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:19,676 [DEBUG]: Saving checkpoint ...
2019-01-29 22:15:21,151 [INFO]: step 1100: gen_loss 1.010233, dis_loss 1.377595 (4286.4 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:21,151 [INFO]: 48900 iterations left,expected to finsh at Y-01-29 22:26:37 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:22,574 [INFO]: step 1200: gen_loss 1.258687, dis_loss 1.407115 (4225.7 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:22,574 [INFO]: 48800 iterations left,expected to finsh at Y-01-29 22:26:38 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:24,001 [INFO]: step 1300: gen_loss 1.242487, dis_loss 1.317453 (4199.7 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:24,001 [INFO]: 48700 iterations left,expected to finsh at Y-01-29 22:26:40 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:25,422 [INFO]: step 1400: gen_loss 1.294117, dis_loss 1.276726 (4129.2 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:25,423 [INFO]: 48600 iterations left,expected to finsh at Y-01-29 22:26:41 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:26,872 [INFO]: step 1500: gen_loss 0.630598, dis_loss 1.385422 (4242.0 examples/sec; 0.015 sec/batch)
2019-01-29 22:15:26,872 [INFO]: 48500 iterations left,expected to finsh at Y-01-29 22:26:43 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:28,283 [INFO]: step 1600: gen_loss 0.716446, dis_loss 1.404732 (4115.6 examples/sec; 0.016 sec/batch)
2019-01-29 22:15:28,283 [INFO]: 48400 iterations left,expected to finsh at Y-01-29 22:26:44 (avg speed: 0.014 sec/batch)
2019-01-29 22:15:29,709 [INFO]: step 1700: gen_loss 1.043326, dis_loss 1.174304 (4356.1 examples/sec; 0.015 sec/batch)
