2019-01-14 10:21:31,165 [INFO]: start action
2019-01-14 10:21:33,639 [INFO]: Restore weights from ./checkpoints/mlp/model.ckpt-10000
2019-01-14 10:21:35,213 [INFO]: Starting training from step 10001...
2019-01-14 10:26:15,806 [INFO]: start action
2019-01-14 10:26:17,725 [INFO]: This network is trained from scratch
2019-01-14 10:26:19,167 [INFO]: Starting training from step 0...
2019-01-14 10:40:43,709 [INFO]: 9790 iterations left,expected to finsh at Y-01-14 21:49:16 (avg speed: 4.097 sec/batch)
2019-01-14 10:41:22,550 [INFO]: step 220: gen_loss 0.776682, dis_loss 0.726017 (33.3 examples/sec; 3.840 sec/batch)
2019-01-14 10:41:22,550 [INFO]: 9780 iterations left,expected to finsh at Y-01-14 21:47:40 (avg speed: 4.088 sec/batch)
2019-01-14 10:42:03,238 [INFO]: step 230: gen_loss 0.777005, dis_loss 0.707040 (31.9 examples/sec; 4.019 sec/batch)
2019-01-14 10:42:03,238 [INFO]: 9770 iterations left,expected to finsh at Y-01-14 21:47:32 (avg speed: 4.087 sec/batch)
2019-01-14 10:42:43,064 [INFO]: step 240: gen_loss 0.772206, dis_loss 0.733414 (32.2 examples/sec; 3.976 sec/batch)
2019-01-14 10:42:43,064 [INFO]: 9760 iterations left,expected to finsh at Y-01-14 21:46:48 (avg speed: 4.083 sec/batch)
2019-01-14 10:43:25,176 [INFO]: step 250: gen_loss 0.778517, dis_loss 0.695738 (27.2 examples/sec; 4.706 sec/batch)
2019-01-14 10:43:25,177 [INFO]: 9750 iterations left,expected to finsh at Y-01-14 21:47:40 (avg speed: 4.088 sec/batch)
2019-01-14 10:44:05,244 [INFO]: step 260: gen_loss 0.770206, dis_loss 0.720893 (33.2 examples/sec; 3.857 sec/batch)
2019-01-14 10:44:05,244 [INFO]: 9740 iterations left,expected to finsh at Y-01-14 21:47:09 (avg speed: 4.085 sec/batch)
2019-01-14 10:44:43,736 [INFO]: step 270: gen_loss 0.768962, dis_loss 0.722327 (33.5 examples/sec; 3.816 sec/batch)
2019-01-14 10:44:43,737 [INFO]: 9730 iterations left,expected to finsh at Y-01-14 21:45:42 (avg speed: 4.076 sec/batch)
2019-01-14 10:45:22,343 [INFO]: step 280: gen_loss 0.774919, dis_loss 0.692376 (33.1 examples/sec; 3.872 sec/batch)
2019-01-14 10:45:22,344 [INFO]: 9720 iterations left,expected to finsh at Y-01-14 21:44:25 (avg speed: 4.068 sec/batch)
2019-01-14 10:46:00,645 [INFO]: step 290: gen_loss 0.774741, dis_loss 0.695578 (33.4 examples/sec; 3.832 sec/batch)
2019-01-14 10:46:00,848 [INFO]: 9710 iterations left,expected to finsh at Y-01-14 21:43:10 (avg speed: 4.061 sec/batch)
2019-01-14 10:46:39,100 [INFO]: step 300: gen_loss 0.771723, dis_loss 0.701238 (33.6 examples/sec; 3.812 sec/batch)
2019-01-14 10:46:39,100 [INFO]: 9700 iterations left,expected to finsh at Y-01-14 21:41:52 (avg speed: 4.053 sec/batch)
2019-01-14 10:47:17,408 [INFO]: step 310: gen_loss 0.771187, dis_loss 0.692469 (33.2 examples/sec; 3.859 sec/batch)
2019-01-14 10:47:17,408 [INFO]: 9690 iterations left,expected to finsh at Y-01-14 21:40:41 (avg speed: 4.046 sec/batch)
2019-01-14 10:47:55,566 [INFO]: step 320: gen_loss 0.771617, dis_loss 0.700729 (33.7 examples/sec; 3.803 sec/batch)
2019-01-14 10:47:55,566 [INFO]: 9680 iterations left,expected to finsh at Y-01-14 21:39:29 (avg speed: 4.039 sec/batch)
2019-01-14 10:48:33,851 [INFO]: step 330: gen_loss 0.773307, dis_loss 0.685864 (33.0 examples/sec; 3.874 sec/batch)
2019-01-14 10:48:33,852 [INFO]: 9670 iterations left,expected to finsh at Y-01-14 21:38:25 (avg speed: 4.032 sec/batch)
2019-01-14 10:49:12,150 [INFO]: step 340: gen_loss 0.763757, dis_loss 0.712248 (33.8 examples/sec; 3.783 sec/batch)
2019-01-14 10:49:12,150 [INFO]: 9660 iterations left,expected to finsh at Y-01-14 21:37:26 (avg speed: 4.026 sec/batch)
2019-01-14 10:49:50,489 [INFO]: step 350: gen_loss 0.766775, dis_loss 0.704211 (33.5 examples/sec; 3.818 sec/batch)
2019-01-14 10:49:50,489 [INFO]: 9650 iterations left,expected to finsh at Y-01-14 21:36:31 (avg speed: 4.021 sec/batch)
2019-01-14 10:50:28,926 [INFO]: step 360: gen_loss 0.764070, dis_loss 0.715594 (33.6 examples/sec; 3.815 sec/batch)
2019-01-14 10:50:28,926 [INFO]: 9640 iterations left,expected to finsh at Y-01-14 21:35:42 (avg speed: 4.016 sec/batch)
2019-01-14 10:51:07,225 [INFO]: step 370: gen_loss 0.764152, dis_loss 0.696087 (33.3 examples/sec; 3.845 sec/batch)
2019-01-14 10:51:07,226 [INFO]: 9630 iterations left,expected to finsh at Y-01-14 21:34:52 (avg speed: 4.011 sec/batch)
2019-01-14 10:51:46,945 [INFO]: step 380: gen_loss 0.763744, dis_loss 0.712597 (30.7 examples/sec; 4.173 sec/batch)
2019-01-14 10:51:46,945 [INFO]: 9620 iterations left,expected to finsh at Y-01-14 21:34:42 (avg speed: 4.010 sec/batch)
2019-01-14 10:52:29,177 [INFO]: step 390: gen_loss 0.765033, dis_loss 0.691348 (30.5 examples/sec; 4.192 sec/batch)
2019-01-14 10:52:29,177 [INFO]: 9610 iterations left,expected to finsh at Y-01-14 21:35:36 (avg speed: 4.015 sec/batch)
2019-01-14 10:53:08,491 [INFO]: step 400: gen_loss 0.764062, dis_loss 0.701885 (33.9 examples/sec; 3.779 sec/batch)
2019-01-14 10:53:08,491 [INFO]: 9600 iterations left,expected to finsh at Y-01-14 21:35:15 (avg speed: 4.013 sec/batch)
2019-01-14 10:53:46,805 [INFO]: step 410: gen_loss 0.759869, dis_loss 0.714163 (33.5 examples/sec; 3.824 sec/batch)
2019-01-14 10:53:46,805 [INFO]: 9590 iterations left,expected to finsh at Y-01-14 21:34:31 (avg speed: 4.009 sec/batch)
2019-01-14 10:54:24,936 [INFO]: step 420: gen_loss 0.761880, dis_loss 0.705125 (33.6 examples/sec; 3.806 sec/batch)
2019-01-14 10:54:24,936 [INFO]: 9580 iterations left,expected to finsh at Y-01-14 21:33:45 (avg speed: 4.004 sec/batch)
2019-01-14 10:55:03,149 [INFO]: step 430: gen_loss 0.761449, dis_loss 0.702126 (33.4 examples/sec; 3.832 sec/batch)
2019-01-14 10:55:03,150 [INFO]: 9570 iterations left,expected to finsh at Y-01-14 21:33:02 (avg speed: 4.000 sec/batch)
2019-01-14 10:55:43,111 [INFO]: step 440: gen_loss 0.762717, dis_loss 0.702287 (33.3 examples/sec; 3.849 sec/batch)
2019-01-14 10:55:43,112 [INFO]: 9560 iterations left,expected to finsh at Y-01-14 21:33:01 (avg speed: 4.000 sec/batch)
2019-01-14 10:56:22,470 [INFO]: step 450: gen_loss 0.760644, dis_loss 0.701690 (33.7 examples/sec; 3.801 sec/batch)
2019-01-14 10:56:22,471 [INFO]: 9550 iterations left,expected to finsh at Y-01-14 21:32:47 (avg speed: 3.998 sec/batch)
