2019-01-17 17:15:30,305 [INFO]: start action
2019-01-17 17:17:40,506 [INFO]: start action
2019-01-17 17:58:18,783 [INFO]: start action
2019-01-17 17:58:46,067 [INFO]: start action
2019-01-17 17:58:47,305 [INFO]: This network is trained from scratch
2019-01-17 17:58:48,134 [INFO]: Starting training from step 0...
2019-01-17 18:00:56,637 [INFO]: step 2100: gen_loss 0.751268, dis_loss 1.343021 (2143.9 examples/sec; 0.060 sec/batch)
2019-01-17 18:00:56,637 [INFO]: 97900 iterations left,expected to finsh at Y-01-17 19:40:44 (avg speed: 0.061 sec/batch)
2019-01-17 18:01:02,683 [INFO]: step 2200: gen_loss 0.773406, dis_loss 1.387686 (2139.2 examples/sec; 0.060 sec/batch)
2019-01-17 18:01:02,683 [INFO]: 97800 iterations left,expected to finsh at Y-01-17 19:40:41 (avg speed: 0.061 sec/batch)
2019-01-17 18:01:08,719 [INFO]: step 2300: gen_loss 0.779811, dis_loss 1.361154 (2134.0 examples/sec; 0.060 sec/batch)
2019-01-17 18:01:08,719 [INFO]: 97700 iterations left,expected to finsh at Y-01-17 19:40:37 (avg speed: 0.061 sec/batch)
2019-01-17 18:01:14,786 [INFO]: step 2400: gen_loss 0.790863, dis_loss 1.391574 (2114.9 examples/sec; 0.061 sec/batch)
2019-01-17 18:01:14,786 [INFO]: 97600 iterations left,expected to finsh at Y-01-17 19:40:36 (avg speed: 0.061 sec/batch)
2019-01-17 18:01:20,859 [INFO]: step 2500: gen_loss 0.760281, dis_loss 1.386080 (2110.0 examples/sec; 0.061 sec/batch)
2019-01-17 18:01:20,859 [INFO]: 97500 iterations left,expected to finsh at Y-01-17 19:40:34 (avg speed: 0.061 sec/batch)
2019-01-17 18:01:26,914 [INFO]: step 2600: gen_loss 0.755047, dis_loss 1.388625 (2133.0 examples/sec; 0.060 sec/batch)
2019-01-17 18:01:26,914 [INFO]: 97400 iterations left,expected to finsh at Y-01-17 19:40:32 (avg speed: 0.061 sec/batch)
2019-01-17 18:01:32,994 [INFO]: step 2700: gen_loss 0.689755, dis_loss 1.231412 (2073.5 examples/sec; 0.062 sec/batch)
2019-01-17 18:01:32,994 [INFO]: 97300 iterations left,expected to finsh at Y-01-17 19:40:31 (avg speed: 0.061 sec/batch)
2019-01-17 18:01:39,121 [INFO]: step 2800: gen_loss 0.756716, dis_loss 1.279265 (1912.3 examples/sec; 0.067 sec/batch)
2019-01-17 18:01:39,122 [INFO]: 97200 iterations left,expected to finsh at Y-01-17 19:40:32 (avg speed: 0.061 sec/batch)
2019-01-17 18:01:45,424 [INFO]: step 2900: gen_loss 0.810708, dis_loss 1.295310 (1894.2 examples/sec; 0.068 sec/batch)
2019-01-17 18:01:45,424 [INFO]: 97100 iterations left,expected to finsh at Y-01-17 19:40:39 (avg speed: 0.061 sec/batch)
2019-01-17 18:01:51,725 [INFO]: step 3000: gen_loss 0.763341, dis_loss 1.347401 (1884.6 examples/sec; 0.068 sec/batch)
2019-01-17 18:01:51,725 [INFO]: 97000 iterations left,expected to finsh at Y-01-17 19:40:45 (avg speed: 0.061 sec/batch)
2019-01-17 18:01:51,985 [DEBUG]: Saving checkpoint ...
2019-01-17 18:01:58,483 [INFO]: step 3100: gen_loss 0.742668, dis_loss 1.332101 (1977.1 examples/sec; 0.065 sec/batch)
2019-01-17 18:01:58,483 [INFO]: 96900 iterations left,expected to finsh at Y-01-17 19:41:06 (avg speed: 0.061 sec/batch)
2019-01-17 18:02:04,817 [INFO]: step 3200: gen_loss 0.728123, dis_loss 1.407393 (1991.4 examples/sec; 0.064 sec/batch)
2019-01-17 18:02:04,818 [INFO]: 96800 iterations left,expected to finsh at Y-01-17 19:41:12 (avg speed: 0.061 sec/batch)
